model,layer,bin,bin_lo,bin_hi,n,probe_auroc,length_auroc
qwen,16,2,4.0,10.0,206,0.9973404255319149,0.7386229314420805
qwen,16,3,10.0,44.0,193,0.7395833333333334,0.453125
qwen,17,0,1.0,2.0,283,0.47545787545787543,0.5362637362637362
qwen,17,1,2.0,4.0,118,0.7851851851851852,0.6657407407407407
qwen,17,2,4.0,10.0,206,0.9926122931442081,0.7386229314420805
qwen,17,3,10.0,44.0,193,0.890625,0.453125
qwen,18,0,1.0,2.0,283,0.5373626373626373,0.5362637362637362
qwen,18,1,2.0,4.0,118,0.7907407407407407,0.6657407407407407
qwen,18,2,4.0,10.0,206,0.9943853427895981,0.7386229314420805
qwen,18,3,10.0,44.0,193,0.9583333333333334,0.453125
qwen,19,0,1.0,2.0,283,0.5355311355311355,0.5362637362637362
qwen,19,1,2.0,4.0,118,0.8046296296296296,0.6657407407407407
qwen,19,2,4.0,10.0,206,0.9769503546099291,0.7386229314420805
qwen,19,3,10.0,44.0,193,0.9114583333333334,0.453125
qwen,20,0,1.0,2.0,283,0.6223443223443224,0.5362637362637362
qwen,20,1,2.0,4.0,118,0.9101851851851852,0.6657407407407407
qwen,20,2,4.0,10.0,206,0.9821217494089834,0.7386229314420805
qwen,20,3,10.0,44.0,193,0.984375,0.453125
qwen,21,0,1.0,2.0,283,0.4908424908424909,0.5362637362637362
qwen,21,1,2.0,4.0,118,0.9074074074074074,0.6657407407407407
qwen,21,2,4.0,10.0,206,0.9932033096926713,0.7386229314420805
qwen,21,3,10.0,44.0,193,0.9479166666666666,0.453125
qwen,22,0,1.0,2.0,283,0.4351648351648352,0.5362637362637362
qwen,22,1,2.0,4.0,118,0.8990740740740741,0.6657407407407407
qwen,22,2,4.0,10.0,206,0.9763593380614657,0.7386229314420805
qwen,22,3,10.0,44.0,193,1.0,0.453125
qwen,23,0,1.0,2.0,283,0.5249084249084248,0.5362637362637362
qwen,23,1,2.0,4.0,118,0.8796296296296297,0.6657407407407407
qwen,23,2,4.0,10.0,206,0.9736997635933807,0.7386229314420805
qwen,23,3,10.0,44.0,193,1.0,0.453125
qwen,24,0,1.0,2.0,283,0.4732600732600733,0.5362637362637362
qwen,24,1,2.0,4.0,118,0.9064814814814816,0.6657407407407407
qwen,24,2,4.0,10.0,206,0.9929078014184397,0.7386229314420805
qwen,24,3,10.0,44.0,193,1.0,0.453125
qwen,25,0,1.0,2.0,283,0.5117216117216117,0.5362637362637362
qwen,25,1,2.0,4.0,118,0.9138888888888889,0.6657407407407407
qwen,25,2,4.0,10.0,206,0.9943853427895982,0.7386229314420805
qwen,25,3,10.0,44.0,193,1.0,0.453125
qwen,26,0,1.0,2.0,283,0.5241758241758242,0.5362637362637362
qwen,26,1,2.0,4.0,118,0.923148148148148,0.6657407407407407
qwen,26,2,4.0,10.0,206,0.9920212765957448,0.7386229314420805
qwen,26,3,10.0,44.0,193,0.9947916666666666,0.453125
qwen,27,0,1.0,2.0,283,0.4571428571428572,0.5362637362637362
qwen,27,1,2.0,4.0,118,0.8962962962962963,0.6657407407407407
qwen,27,2,4.0,10.0,206,0.9946808510638298,0.7386229314420805
qwen,27,3,10.0,44.0,193,0.90625,0.453125
qwen,28,0,1.0,2.0,283,0.48791208791208796,0.5362637362637362
qwen,28,1,2.0,4.0,118,0.8824074074074074,0.6657407407407407
qwen,28,2,4.0,10.0,206,0.9666075650118203,0.7386229314420805
qwen,28,3,10.0,44.0,193,0.9739583333333334,0.453125
qwen,29,0,1.0,2.0,283,0.5695970695970696,0.5362637362637362
qwen,29,1,2.0,4.0,118,0.9305555555555556,0.6657407407407407
qwen,29,2,4.0,10.0,206,0.9778368794326241,0.7386229314420805
qwen,29,3,10.0,44.0,193,0.9583333333333334,0.453125
qwen,30,0,1.0,2.0,283,0.604029304029304,0.5362637362637362
qwen,30,1,2.0,4.0,118,0.9249999999999999,0.6657407407407407
qwen,30,2,4.0,10.0,206,0.9819739952718676,0.7386229314420805
qwen,30,3,10.0,44.0,193,0.625,0.453125
qwen,31,0,1.0,2.0,283,0.5728937728937729,0.5362637362637362
qwen,31,1,2.0,4.0,118,0.9018518518518518,0.6657407407407407
qwen,31,2,4.0,10.0,206,0.9787234042553191,0.7386229314420805
qwen,31,3,10.0,44.0,193,0.84375,0.453125
qwen,32,0,1.0,2.0,283,0.5124542124542124,0.5362637362637362
qwen,32,1,2.0,4.0,118,0.8518518518518519,0.6657407407407407
qwen,32,2,4.0,10.0,206,0.9807919621749409,0.7386229314420805
qwen,32,3,10.0,44.0,193,0.8541666666666666,0.453125
qwen,33,0,1.0,2.0,283,0.5347985347985348,0.5362637362637362
qwen,33,1,2.0,4.0,118,0.862037037037037,0.6657407407407407
qwen,33,2,4.0,10.0,206,0.9837470449172576,0.7386229314420805
qwen,33,3,10.0,44.0,193,0.796875,0.453125
qwen,34,0,1.0,2.0,283,0.591941391941392,0.5362637362637362
qwen,34,1,2.0,4.0,118,0.8703703703703703,0.6657407407407407
qwen,34,2,4.0,10.0,206,0.9893617021276596,0.7386229314420805
qwen,34,3,10.0,44.0,193,0.3802083333333333,0.453125
qwen,35,0,1.0,2.0,283,0.5783882783882783,0.5362637362637362
qwen,35,1,2.0,4.0,118,0.8675925925925926,0.6657407407407407
qwen,35,2,4.0,10.0,206,0.9556737588652483,0.7386229314420805
qwen,35,3,10.0,44.0,193,0.44010416666666663,0.453125
qwen,36,0,1.0,2.0,283,0.575091575091575,0.5362637362637362
qwen,36,1,2.0,4.0,118,0.8861111111111111,0.6657407407407407
qwen,36,2,4.0,10.0,206,0.9807919621749409,0.7386229314420805
